Customer_ID,Country,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Credit_Score,Monthly_Income,Debt_to_Income_Ratio,Employment_Length_Years,Current_Employment_Status,Number_of_Dependents,Loan_Status,Days_Past_Due,Previous_Loans,Previous_Defaults,Monthly_Payment,Risk_Score
CUST000018,Nigeria,Business,7110.9,34.620000000000005,24,780,1157.48,0.522,9.5,Business Owner,5,Completed,0.0,5,0,398.86223249999995,123.3
CUST000019,Nigeria,Personal,766.77,23.29,3,578,3015.32,0.422,12.3,Business Owner,5,Defaulted,179.0,5,1,315.11691099999996,77.1
CUST000020,Nigeria,Business,5863.49,41.4,3,725,1333.852,0.425,17.4,Self-Employed,1,Active,0.0,0,0,2763.6582866666663,117.0
CUST000021,India,Emergency,3524.24,31.78,24,631,752.058,0.533,13.2,Business Owner,5,Defaulted,131.0,1,2,193.51014466666666,-14.2
CUST000022,India,Business,6247.06,28.69,24,644,399.513,0.547,8.7,Self-Employed,0,Active,0.0,3,0,334.97256308333334,83.2
CUST000023,Nigeria,Education,552.85,19.11,24,659,1045.6360000000002,0.56,16.4,Business Owner,0,Active,0.0,2,0,27.437484791666666,111.9
CUST000024,Nigeria,Business,8728.21,28.52,12,675,1007.792,0.147,18.1,Employed,4,Completed,0.0,5,0,934.791291,193.3
CUST000025,India,Personal,9737.54,25.89,24,638,1445.454,0.372,2.4,Business Owner,3,Completed,0.0,0,1,510.77454608333346,-11.4
CUST000026,India,Business,9691.89,37.21,6,671,1126.95,0.47,10.6,Employed,0,Completed,0.0,3,0,2216.3737115,103.1
CUST000027,India,Education,7521.55,28.31,12,808,495.885,0.478,5.7,Employed,4,Late,32.0,3,0,804.24173375,91.5
CUST000028,USA,Education,1387.85,18.65,3,749,3249.08,0.403,0.9,Employed,2,Late,4.0,3,1,548.894675,19.1
CUST000029,USA,Emergency,7606.81,35.35,3,737,4170.39,0.183,13.4,Self-Employed,3,Defaulted,120.0,0,0,3431.9391116666666,122.4
CUST000030,USA,Business,343.41,11.1,3,604,6399.76,0.499,17.3,Employed,0,Completed,0.0,2,0,127.17617000000001,117.0
CUST000031,Nigeria,Education,319.02,27.83,12,561,1858.38,0.46,3.3,Business Owner,2,Late,65.0,5,0,33.983605499999996,76.6
CUST000032,USA,Personal,3303.74,9.18,6,746,4360.85,0.143,16.2,Self-Employed,4,Completed,0.0,3,0,601.1705553333334,171.3
CUST000033,Nigeria,Emergency,4937.57,36.72,24,738,1228.748,0.332,17.1,Employed,0,Late,71.0,0,0,281.27690433333333,126.1
CUST000034,Nigeria,Personal,7727.03,41.71,24,797,1447.892,0.187,18.3,Self-Employed,0,Late,73.0,1,0,456.24892554166667,162.5
CUST000035,USA,Business,6864.62,15.84,3,590,5567.78,0.269,5.3,Self-Employed,5,Active,0.0,0,0,2650.6586026666664,58.6
CUST000036,Nigeria,Business,4514.44,40.03,3,627,612.36,0.109,18.1,Self-Employed,2,Completed,0.0,0,0,2107.190110666667,142.3
CUST000037,USA,Business,2808.9,16.18,12,486,2503.09,0.3,6.4,Business Owner,0,Completed,0.0,0,0,271.948335,50.6
CUST000038,USA,Emergency,9971.53,33.5,6,611,2025.79,0.375,11.0,Employed,1,Late,65.0,3,0,2218.665425,108.6
CUST000039,India,Education,4319.19,34.11,24,750,1080.9599999999998,0.41,1.0,Self-Employed,5,Completed,0.0,0,1,241.35273787499997,-11.0
CUST000040,USA,Emergency,4568.73,30.54,12,603,5514.36,0.432,0.9,Self-Employed,5,Late,80.0,1,1,497.0016785,-18.4
CUST000041,India,Personal,1719.88,13.5,24,714,663.507,0.518,14.4,Self-Employed,0,Completed,0.0,3,0,81.33599166666667,121.6
CUST000042,USA,Emergency,7968.61,34.96,3,631,902.21,0.208,8.9,Employed,5,Active,0.0,1,0,3584.812018666667,96.8
CUST000043,USA,Personal,6967.45,28.35,24,682,2425.73,0.16,5.1,Self-Employed,3,Completed,0.0,4,0,372.6134197916667,117.7
CUST000044,India,Emergency,2285.62,21.53,6,535,1412.001,0.526,3.8,Self-Employed,2,Active,0.0,0,0,462.95233099999996,19.9
CUST000045,India,Education,915.57,36.22,6,659,1170.096,0.178,13.4,Business Owner,3,Defaulted,163.0,5,0,207.864909,165.1
CUST000046,USA,Personal,6836.94,15.88,3,351,3692.63,0.587,0.0,Employed,4,Completed,0.0,5,0,2640.882024,26.4
CUST000047,Nigeria,Business,6579.66,40.44,6,631,1036.612,0.521,16.1,Business Owner,3,Completed,0.0,3,0,1540.079084,121.5
CUST000048,India,Business,2805.27,16.15,6,487,471.78,0.35,1.6,Employed,1,Completed,0.0,5,0,543.0535175,71.7
CUST000049,Nigeria,Emergency,9513.55,35.7,12,771,1542.804,0.591,3.8,Employed,5,Active,0.0,3,0,1075.8239458333333,67.0
CUST000050,Nigeria,Business,1595.47,31.14,24,728,785.696,0.149,7.7,Employed,5,Completed,0.0,0,0,87.17913991666666,96.4
CUST000051,Nigeria,Personal,4380.11,18.7,3,697,3553.7480000000005,0.252,9.7,Business Owner,1,Completed,0.0,2,0,1733.0635233333333,113.0
CUST000052,India,Business,9441.8,19.77,3,802,1189.491,0.419,7.1,Business Owner,5,Late,18.0,2,0,3769.4812866666666,93.8
CUST000053,Nigeria,Education,4255.3,16.35,3,555,891.9280000000001,0.275,6.4,Business Owner,3,Defaulted,115.0,1,0,1650.3471833333333,70.0
CUST000054,India,Education,6421.41,26.13,3,825,658.7429999999999,0.564,19.3,Business Owner,4,Active,0.0,0,1,2699.7748109999998,72.6
CUST000055,Nigeria,Emergency,4036.18,24.44,3,743,1138.24,0.133,12.8,Self-Employed,0,Late,54.0,5,0,1674.2074639999998,175.0
CUST000056,USA,Personal,2814.73,24.75,6,626,2644.53,0.375,0.5,Self-Employed,1,Active,0.0,0,0,585.2292791666667,27.6
CUST000057,USA,Education,9841.38,16.32,12,764,5210.43,0.395,8.6,Self-Employed,3,Late,47.0,4,0,953.9577679999999,119.9
CUST000058,India,Education,4152.41,21.4,3,539,981.651,0.426,17.5,Employed,3,Defaulted,175.0,2,0,1680.3419133333334,118.8
CUST000059,USA,Personal,8951.58,28.81,12,568,2067.68,0.228,6.0,Self-Employed,3,Late,6.0,5,0,960.8775165000001,114.0
CUST000060,USA,Business,2376.55,9.35,12,589,7671.14,0.282,1.9,Employed,0,Active,0.0,2,0,216.56311874999997,60.2
CUST000061,Nigeria,Business,2209.74,41.28,6,597,1222.144,0.522,15.2,Business Owner,2,Completed,0.0,0,0,520.320112,83.5
CUST000062,India,Emergency,408.23,36.86,3,544,1313.4959999999999,0.197,12.1,Employed,5,Completed,0.0,5,0,186.234526,145.2
CUST000063,Nigeria,Business,6551.5,34.7,6,772,879.7120000000001,0.513,11.4,Employed,5,Defaulted,165.0,1,0,1470.8117499999998,92.9
CUST000064,Nigeria,Personal,3748.41,32.61,3,624,1429.768,0.381,1.1,Self-Employed,4,Active,0.0,0,0,1656.922167,29.8
CUST000065,Nigeria,Education,8657.15,40.98,6,685,1393.0680000000002,0.481,2.8,Business Owner,2,Active,0.0,1,0,2034.1416783333332,44.4
CUST000066,Nigeria,Business,4784.78,21.189999999999998,12,593,463.536,0.457,12.5,Business Owner,5,Active,0.0,5,1,483.2229068333333,76.1
CUST000067,Nigeria,Emergency,9685.11,18.21,3,468,3266.0840000000003,0.204,4.2,Self-Employed,4,Defaulted,121.0,2,0,3816.2561769999998,67.4
CUST000068,Nigeria,Business,1936.7,22.71,24,677,2273.4,0.384,10.1,Business Owner,4,Completed,0.0,4,0,99.02185708333333,119.8
CUST000069,Nigeria,Personal,8699.37,38.25,12,459,977.6120000000001,0.534,10.9,Business Owner,3,Late,66.0,3,0,1002.2399187500001,77.0
CUST000070,India,Emergency,7788.31,13.97,24,643,515.373,0.316,5.7,Business Owner,1,Defaulted,141.0,2,0,369.84737112500005,81.2
CUST000071,USA,Business,7732.13,24.32,12,513,3546.73,0.583,19.0,Self-Employed,3,Late,9.0,1,0,801.048668,98.0
CUST000072,Nigeria,Emergency,8463.35,43.87,6,849,1245.208,0.326,16.8,Business Owner,0,Completed,0.0,0,0,2029.3702741666666,136.3
CUST000073,Nigeria,Personal,7634.14,39.96,3,741,1424.4520000000002,0.171,14.4,Employed,5,Defaulted,109.0,5,0,3561.5807813333336,179.0
CUST000074,Nigeria,Education,6299.58,30.6,12,661,1312.248,0.295,1.6,Employed,4,Completed,0.0,2,0,685.6042900000001,64.6
CUST000075,Nigeria,Personal,1399.32,17.78,6,776,1535.8360000000002,0.576,2.1,Business Owner,1,Late,68.0,4,1,274.686516,20.5
CUST000076,Nigeria,Personal,422.01,39.28,3,565,2458.6360000000004,0.26,9.9,Self-Employed,5,Active,0.0,5,0,195.925176,130.0
CUST000077,Nigeria,Personal,9216.39,32.769999999999996,3,704,1584.084,0.534,3.2,Self-Employed,4,Active,0.0,1,0,4078.867000999999,43.0
CUST000078,USA,Personal,6204.84,11.22,12,670,1763.71,0.541,19.6,Self-Employed,4,Late,23.0,5,0,575.0852540000001,160.9
CUST000079,USA,Education,7985.72,10.63,3,676,5891.59,0.275,3.2,Business Owner,3,Active,0.0,5,0,2944.8673453333336,106.1
CUST000080,Nigeria,Education,4867.07,41.47,12,777,2708.1360000000004,0.142,9.7,Business Owner,1,Late,43.0,0,0,573.7869940833333,112.0
CUST000081,USA,Emergency,1261.35,26.74,3,723,14415.05,0.462,7.3,Employed,1,Defaulted,129.0,3,2,532.8783299999999,-7.4
CUST000082,India,Business,1339.34,36.22,24,679,509.93399999999997,0.256,12.8,Self-Employed,5,Defaulted,148.0,1,0,76.01870616666666,116.3
CUST000083,Nigeria,Education,6887.1,40.61,6,485,1346.348,0.491,2.6,Employed,4,Defaulted,166.0,0,0,1613.9918850000001,12.4
CUST000084,India,Education,4360.03,29.01,24,554,315.75899999999996,0.321,8.6,Employed,1,Active,0.0,3,2,234.36977929166665,-3.7
CUST000085,India,Business,2085.19,27.49,12,638,1179.213,0.343,5.5,Self-Employed,1,Completed,0.0,0,0,221.53406091666668,57.0
CUST000086,Nigeria,Education,4966.79,28.05,24,659,906.5160000000001,0.489,17.8,Business Owner,5,Active,0.0,3,0,264.9989414583333,136.0
CUST000087,USA,Personal,735.67,16.87,12,537,7798.78,0.291,0.8,Business Owner,3,Active,0.0,3,0,71.64812741666667,58.6
CUST000088,India,Personal,5861.52,25.17,3,891,607.116,0.322,18.3,Employed,2,Completed,0.0,3,0,2445.621528,178.4
CUST000089,Nigeria,Business,2763.03,37.67,3,802,512.408,0.288,16.7,Employed,0,Completed,0.0,0,0,1267.9544670000002,134.9
CUST000090,India,Emergency,7995.84,29.85,12,710,706.551,0.284,6.0,Employed,2,Completed,0.0,5,0,865.21652,122.6
CUST000091,India,Emergency,3172.58,37.99,24,657,333.048,0.363,15.8,Employed,1,Completed,0.0,3,0,182.4101309166667,138.4
CUST000092,India,Business,4606.68,25.41,3,629,1301.8949999999998,0.504,0.6,Self-Employed,4,Active,0.0,5,0,1925.7457960000002,65.5
CUST000093,India,Business,215.04,30.0,6,555,318.45599999999996,0.281,19.3,Employed,0,Late,51.0,1,0,46.592000000000006,133.9
CUST000094,USA,Personal,817.22,25.68,3,658,3023.68,0.362,10.5,Employed,0,Defaulted,103.0,4,0,342.3606986666666,122.1
CUST000095,India,Emergency,3985.69,29.57,6,676,316.43699999999995,0.435,6.1,Business Owner,4,Late,72.0,5,0,860.7097555,104.6
CUST000096,India,Education,4851.39,32.67,24,526,761.949,0.235,7.3,Business Owner,0,Active,0.0,4,0,268.180796375,105.6
CUST000097,India,Personal,6040.2,19.65,6,683,2033.913,0.239,1.3,Business Owner,4,Completed,0.0,3,0,1204.5165499999998,80.9
CUST000098,USA,Business,2987.46,22.35,6,634,3570.01,0.567,19.8,Self-Employed,0,Defaulted,133.0,4,0,609.192885,145.7
CUST000099,India,Emergency,6980.32,15.92,6,459,580.728,0.462,0.8,Self-Employed,5,Defaulted,175.0,4,0,1348.597824,43.7
CUST000100,India,Education,8615.21,23.77,6,564,880.443,0.389,13.1,Business Owner,5,Late,25.0,3,2,1777.1742361666666,13.0
CUST000101,USA,Education,7820.52,21.65,3,609,3007.93,0.424,8.9,Business Owner,2,Active,0.0,5,0,3171.22086,113.0
CUST000102,USA,Personal,492.23,26.26,6,839,3775.6,0.115,19.0,Employed,0,Active,0.0,3,0,103.58159966666666,197.4
CUST000103,USA,Emergency,4857.02,34.61,3,706,1505.03,0.409,4.9,Employed,3,Active,0.0,1,1,2179.3448740000003,14.2
CUST000104,India,Emergency,1138.81,29.82,6,516,1202.685,0.355,10.6,Self-Employed,4,Defaulted,171.0,2,0,246.40052366666666,89.1
CUST000105,USA,Business,2496.25,28.82,12,699,771.09,0.373,9.6,Self-Employed,0,Late,80.0,0,0,267.9724375,80.6
CUST000106,USA,Emergency,9867.96,22.18,24,495,2175.6,0.28,14.1,Employed,5,Defaulted,137.0,3,0,502.36139699999995,122.0
CUST000107,India,Emergency,1510.71,30.75,6,758,700.5659999999999,0.141,1.4,Business Owner,5,Defaulted,132.0,3,0,329.2088875,98.7
CUST000108,USA,Personal,5038.99,9.99,12,603,4091.49,0.197,3.9,Employed,4,Completed,0.0,4,0,461.8654250833333,100.1
CUST000109,India,Emergency,6219.74,20.119999999999997,6,641,904.464,0.575,4.3,Self-Employed,3,Late,35.0,1,0,1245.191948,38.1
CUST000110,Nigeria,Education,7054.4,26.13,6,783,590.476,0.304,14.8,Self-Employed,0,Completed,0.0,4,0,1482.952453333333,161.9
CUST000111,USA,Personal,5640.52,21.23,6,521,1821.66,0.333,3.8,Employed,0,Active,0.0,5,0,1139.667066,87.8
CUST000112,Nigeria,Personal,196.73,17.28,12,510,1316.9160000000002,0.126,11.5,Employed,3,Defaulted,105.0,3,0,19.227078666666667,125.9
CUST000113,India,Business,3331.97,16.92,24,592,859.6229999999999,0.119,4.3,Employed,3,Late,17.0,3,0,162.3224718333333,98.8
CUST000114,USA,Emergency,5225.35,15.75,12,754,2231.52,0.459,17.2,Self-Employed,3,Active,0.0,4,0,504.02855208333335,155.5
CUST000115,India,Business,969.88,40.2,24,498,703.179,0.369,18.8,Business Owner,5,Late,18.0,3,0,56.65715666666667,136.9
CUST000116,Nigeria,Education,3571.21,25.28,6,367,1688.832,0.354,10.4,Employed,4,Defaulted,124.0,5,1,745.6686480000002,53.3
CUST000117,India,Personal,428.71,26.5,3,605,690.339,0.222,7.0,Self-Employed,3,Late,27.0,2,0,180.7727166666667,93.3
CUST000118,USA,Personal,877.93,13.49,6,705,2852.51,0.472,4.7,Self-Employed,4,Active,0.0,0,0,166.0604595,46.8
CUST000119,USA,Personal,4029.54,25.1,24,770,8821.69,0.184,1.0,Self-Employed,2,Completed,0.0,0,0,210.0397725,63.6
CUST000120,Nigeria,Education,1413.89,23.86,12,604,585.148,0.195,5.4,Employed,0,Defaulted,142.0,0,1,145.93701283333334,17.9
CUST000121,India,Education,5718.65,18.8,6,609,354.285,0.33,13.1,Employed,0,Completed,0.0,2,0,1132.2926999999997,113.4
CUST000122,USA,Business,6925.7,22.46,12,765,4410.73,0.243,10.7,Business Owner,1,Defaulted,123.0,3,0,706.7676850000001,135.7
CUST000123,Nigeria,Business,8025.81,16.15,12,463,849.28,0.224,18.9,Self-Employed,2,Active,0.0,4,2,776.83152625,58.4
CUST000124,USA,Business,2081.49,8.21,12,611,2542.44,0.423,7.9,Employed,3,Defaulted,92.0,1,2,187.69836075,-31.7
CUST000125,USA,Emergency,1758.08,14.13,6,669,2017.11,0.425,13.9,Self-Employed,3,Completed,0.0,3,0,334.4161173333333,123.9
CUST000126,India,Personal,1135.22,14.03,12,695,785.3489999999999,0.512,9.8,Self-Employed,5,Defaulted,157.0,2,0,107.8742805,87.3
CUST000127,USA,Personal,6400.66,11.02,12,599,6629.4,0.309,10.3,Business Owner,2,Active,0.0,5,0,592.1677276666667,130.5
CUST000128,India,Business,7094.11,22.49,6,653,1335.54,0.137,5.4,Employed,3,Defaulted,94.0,2,1,1448.2625564999998,48.6
CUST000129,USA,Personal,412.7,30.47,12,401,4587.6,0.237,9.1,Employed,1,Completed,0.0,0,0,44.87080749999999,61.9
CUST000130,Nigeria,Business,9368.5,32.019999999999996,6,584,587.336,0.59,9.4,Self-Employed,4,Active,0.0,3,2,2061.3822833333334,-23.6
CUST000131,USA,Emergency,614.52,22.35,24,695,1676.43,0.398,14.1,Self-Employed,0,Completed,0.0,0,0,31.327717500000002,100.2
CUST000132,India,Emergency,5458.83,21.22,24,552,216.261,0.455,18.8,Business Owner,2,Defaulted,99.0,1,0,275.71640525,113.7
CUST000133,India,Education,7119.7,39.09,24,656,596.655,0.104,6.6,Business Owner,0,Late,15.0,5,0,412.6162804166667,138.2
CUST000134,Nigeria,Emergency,8722.59,27.12,12,695,1923.8080000000002,0.359,0.8,Business Owner,4,Completed,0.0,0,0,924.013034,37.6
CUST000135,USA,Business,7169.46,10.44,3,616,3860.2,0.119,9.9,Business Owner,2,Defaulted,141.0,1,0,2639.317208,109.2
CUST000136,USA,Emergency,8037.11,25.28,3,667,2668.42,0.385,10.9,Business Owner,4,Late,81.0,2,0,3356.2971360000006,102.7
CUST000137,Nigeria,Education,3460.56,19.189999999999998,12,554,1179.16,0.56,3.4,Business Owner,3,Late,69.0,0,0,343.72012199999995,16.4
CUST000138,USA,Personal,8166.77,17.67,3,629,2112.35,0.584,15.2,Self-Employed,3,Active,0.0,0,0,3203.2794196666673,80.5
CUST000139,USA,Business,893.14,22.21,6,711,3302.32,0.37,19.7,Business Owner,3,Late,80.0,4,0,181.91773233333333,172.6
CUST000140,India,Personal,8958.68,37.48,3,666,1311.552,0.329,18.9,Self-Employed,4,Completed,0.0,5,0,4105.464421333333,178.2
CUST000141,USA,Education,5521.16,21.82,12,591,1328.83,0.573,3.9,Self-Employed,4,Completed,0.0,5,0,560.4897593333333,71.3
CUST000142,USA,Education,8191.25,27.66,12,672,3462.77,0.437,17.5,Employed,4,Late,15.0,2,0,871.4124791666667,131.0
CUST000143,Nigeria,Education,4577.95,43.8,6,721,1900.6040000000003,0.132,14.1,Self-Employed,0,Defaulted,118.0,4,0,1097.1820166666666,169.4
CUST000144,Nigeria,Personal,6471.42,19.68,24,445,968.896,0.333,9.1,Self-Employed,4,Completed,0.0,1,1,322.708144,16.7
CUST000145,India,Personal,5311.39,20.689999999999998,12,766,1269.4979999999998,0.22,10.8,Business Owner,3,Completed,0.0,1,0,534.1930492500001,118.6
CUST000146,USA,Personal,7342.74,19.05,6,616,12177.28,0.335,17.0,Self-Employed,1,Active,0.0,2,0,1456.921995,133.1
CUST000147,USA,Personal,908.14,19.81,3,693,2829.42,0.328,9.6,Business Owner,4,Defaulted,120.0,5,0,362.68084466666664,134.5
CUST000148,USA,Education,697.49,19.51,3,770,3628.79,0.391,7.5,Business Owner,1,Late,42.0,1,0,277.8567663333334,85.4
CUST000149,India,Education,2546.32,38.41,6,513,618.315,0.278,9.9,Business Owner,3,Defaulted,155.0,2,0,587.3935853333334,93.0
CUST000150,India,Business,1679.49,32.989999999999995,6,579,979.1189999999999,0.182,11.6,Employed,4,Active,0.0,1,2,372.2589585,7.7
CUST000151,Nigeria,Business,8730.66,33.019999999999996,12,621,1500.9360000000001,0.352,3.8,Business Owner,0,Active,0.0,3,1,967.793661,25.9
CUST000152,India,Personal,2270.22,21.66,3,572,985.794,0.515,18.0,Self-Employed,0,Defaulted,165.0,0,0,920.649884,95.7
CUST000153,USA,Emergency,9761.07,31.07,6,823,1790.32,0.432,13.5,Business Owner,1,Active,0.0,5,0,2132.3057415,156.6
CUST000154,USA,Emergency,3435.27,34.74,3,564,3304.96,0.269,12.7,Business Owner,5,Active,0.0,3,0,1542.894266,123.0
CUST000155,India,Education,1902.97,35.989999999999995,6,594,1857.756,0.568,2.0,Business Owner,0,Active,0.0,2,0,431.30815049999995,32.6
CUST000156,USA,Education,7918.02,8.04,3,670,3730.58,0.556,12.1,Employed,0,Defaulted,158.0,2,0,2851.5429360000003,91.9
CUST000157,USA,Education,6621.21,25.82,24,530,4822.24,0.205,2.4,Self-Employed,0,Active,0.0,3,0,347.11693425,74.5
CUST000158,India,Business,5032.14,14.43,12,610,794.3489999999999,0.12,1.6,Employed,3,Late,34.0,0,0,479.85648349999997,57.0
CUST000159,India,Business,5598.1,20.21,3,682,1301.115,0.471,10.5,Self-Employed,0,Late,48.0,0,1,2243.1586700000003,23.6
CUST000160,USA,Education,7220.1,9.67,24,617,3427.66,0.514,8.1,Employed,2,Completed,0.0,4,0,329.92848625000005,90.8
CUST000161,USA,Education,2361.7,24.91,3,641,1852.97,0.584,11.8,Self-Employed,4,Late,83.0,1,0,983.3331566666665,74.7
CUST000162,USA,Education,9963.71,27.22,3,597,3495.6,0.545,1.8,Employed,0,Completed,0.0,4,0,4225.277287333333,54.2
CUST000163,Nigeria,Emergency,9750.45,19.21,24,499,726.224,0.4,8.6,Business Owner,5,Defaulted,126.0,0,1,484.312976875,2.9
CUST000164,Nigeria,Business,6538.22,26.75,3,682,868.9360000000001,0.365,3.5,Employed,5,Active,0.0,3,0,2762.3979500000005,79.2
CUST000165,Nigeria,Emergency,2075.47,28.77,3,825,1310.776,0.114,19.7,Employed,0,Late,8.0,1,0,890.8609063333333,179.6
CUST000166,India,Emergency,6834.26,23.33,12,652,1037.583,0.223,11.2,Business Owner,0,Completed,0.0,3,0,702.3910715000001,128.9
CUST000167,Nigeria,Education,814.76,19.39,24,673,657.928,0.33,13.7,Business Owner,2,Defaulted,116.0,4,0,40.53091516666667,142.8
CUST000168,India,Education,403.46,24.73,24,719,1514.772,0.414,6.5,Self-Employed,0,Completed,0.0,2,0,20.968152416666666,83.0
CUST000169,India,Personal,2651.06,34.03,6,523,1190.382,0.379,1.9,Self-Employed,0,Active,0.0,3,0,592.2026196666667,53.9
CUST000170,Nigeria,Personal,4679.97,17.990000000000002,3,820,838.2760000000001,0.471,19.5,Self-Employed,4,Late,10.0,4,0,1840.6322010000001,172.4
CUST000171,Nigeria,Emergency,8695.9,18.25,12,670,552.7560000000001,0.24,5.7,Employed,5,Defaulted,176.0,4,0,856.9084791666668,111.5
CUST000172,Nigeria,Business,7298.97,25.93,3,813,1109.048,0.382,8.5,Self-Employed,2,Completed,0.0,4,2,3063.8643070000003,25.6
CUST000173,USA,Education,7452.79,34.37,3,577,2385.18,0.144,13.0,Employed,5,Defaulted,122.0,2,0,3338.104641,128.3
CUST000174,Nigeria,Education,4312.38,34.72,6,832,1261.78,0.307,0.5,Employed,2,Completed,0.0,2,0,968.273056,75.0
CUST000175,USA,Emergency,3524.76,27.0,3,728,2486.03,0.475,16.2,Self-Employed,5,Completed,0.0,2,0,1492.1484,126.3
CUST000176,India,Personal,3773.28,23.13,12,705,327.765,0.447,10.7,Self-Employed,0,Active,0.0,1,0,387.1699720000001,89.3
CUST000177,USA,Business,9877.73,24.62,12,673,2454.86,0.595,5.6,Employed,5,Active,0.0,2,0,1025.8022604999999,55.8
CUST000178,Nigeria,Personal,497.08,16.28,6,625,1023.416,0.239,1.2,Business Owner,5,Completed,0.0,2,1,96.33410400000001,14.6
CUST000179,India,Personal,8683.61,30.81,3,770,1227.651,0.349,3.2,Business Owner,2,Late,5.0,2,1,3786.343413666667,28.1
CUST000180,India,Personal,5828.89,38.57,12,664,630.762,0.265,17.9,Employed,1,Defaulted,157.0,3,0,673.0910727500001,159.4
CUST000181,India,Personal,4442.29,30.15,3,453,2070.1259999999997,0.32,13.7,Self-Employed,2,Defaulted,148.0,2,0,1927.2134783333331,101.8
CUST000182,USA,Education,7280.05,32.46,3,538,1146.17,0.528,5.0,Employed,2,Active,0.0,1,0,3214.3847433333335,36.0
CUST000183,Nigeria,Education,4918.02,36.269999999999996,3,631,2296.848,0.442,1.3,Employed,2,Late,48.0,4,0,2233.9286180000004,65.4
CUST000184,India,Personal,8746.89,16.380000000000003,6,681,799.4039999999999,0.541,13.8,Self-Employed,3,Completed,0.0,3,0,1696.6050969999997,113.0
CUST000185,India,Business,9016.95,38.27,3,644,1374.465,0.202,11.4,Business Owner,3,Active,0.0,0,0,4155.912255,101.2
CUST000186,India,Emergency,4275.04,14.86,12,772,930.693,0.537,8.1,Employed,3,Completed,0.0,2,2,409.19257866666663,-16.0
CUST000187,USA,Business,2840.6,22.95,3,455,5269.96,0.13,7.3,Business Owner,2,Completed,0.0,4,0,1164.1725666666666,109.0
CUST000188,USA,Business,5964.27,11.98,12,664,2456.07,0.544,4.3,Business Owner,1,Active,0.0,4,0,556.5657955,73.5
CUST000189,Nigeria,Business,9132.4,16.33,3,468,688.4200000000001,0.265,13.4,Self-Employed,2,Late,26.0,3,1,3541.2403066666666,67.3
CUST000190,USA,Personal,2185.56,19.82,12,726,6064.77,0.257,19.4,Employed,0,Defaulted,153.0,0,0,218.228166,143.9
CUST000191,India,Education,6267.37,21.26,12,641,844.9590000000001,0.356,3.5,Employed,1,Active,0.0,5,0,633.3177385,96.0
CUST000192,Nigeria,Business,6352.45,29.61,3,692,1332.0680000000002,0.57,11.9,Business Owner,3,Late,86.0,1,0,2744.4701483333333,81.7
